run_id,epoch,trial_index_in_epoch,timestamp_iso,benchmark,runtime,input_size,input_path,wall_clock_s,exit_code,energy_pkg_uj_total,energy_core_uj_total,avg_power_pkg_w,avg_power_core_w,user_cpu_s,sys_cpu_s,max_rss_kb,num_rapl_samples,governor,cpu_freq_pre_mhz,cpu_freq_post_mhz,cpu_temp_pre_c,cpu_temp_post_c,notes
idle-intertrial-03-023-4f7521,3,23,2026-05-03T22:57:51-0400,idle_intertrial,idle,,,5.000253,0,49906782,219898,9.9810,0.0440,0,0,0,51,schedutil,,,,,idle baseline
e03-t023-nfa-regex-bash-1M-310203,3,23,2026-05-03T22:57:53-0400,nfa-regex,bash,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,2.228396,0,49049466,362286,22.2942,0.1647,2.22,0.0,3424,23,schedutil,1550.0,1550.0,,,
idle-intertrial-04-000-58c088,4,0,2026-05-03T22:57:58-0400,idle_intertrial,idle,,,5.000229,0,46813710,119104,9.3624,0.0238,0,0,0,51,schedutil,,,,,idle baseline
e04-t000-nfa-regex-bash-1M-76942d,4,0,2026-05-03T22:58:01-0400,nfa-regex,bash,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,2.224304,0,62918972,213734,28.5981,0.0971,2.21,0.01,3516,23,schedutil,1550.0,1550.0,,,
idle-intertrial-04-001-781643,4,1,2026-05-03T22:58:06-0400,idle_intertrial,idle,,,5.000546,0,47281643,134880,9.4554,0.0270,0,0,0,51,schedutil,,,,,idle baseline
e04-t001-spell-pash_cold-100M-03b48a,4,1,2026-05-03T22:58:18-0400,spell,pash_cold,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,12.063455,0,458008083,64490713,38.1670,5.3742,33.44,13.8,52896,121,schedutil,1550.0,1372.5,,,
idle-intertrial-04-002-c29679,4,2,2026-05-03T22:58:23-0400,idle_intertrial,idle,,,5.000556,0,48326511,74581,9.6643,0.0149,0,0,0,51,schedutil,,,,,idle baseline
e04-t002-nfa-regex-bash-10M-ada1d6,4,2,2026-05-03T22:58:45-0400,nfa-regex,bash,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,22.009284,0,515109561,914519,23.4140,0.0416,22.0,0.05,3476,221,schedutil,1550.0,1550.0,,,
idle-intertrial-04-003-2c274f,4,3,2026-05-03T22:58:50-0400,idle_intertrial,idle,,,5.000228,0,47324991,42585,9.4647,0.0085,0,0,0,51,schedutil,,,,,idle baseline
e04-t003-spell-pash_cold-1M-58b886,4,3,2026-05-03T22:58:51-0400,spell,pash_cold,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,1.211352,0,29607767,1178528,24.6705,0.9820,1.2,0.43,24100,13,schedutil,1550.0,3262.4,,,
